mature NK T cell,"activated CD8-positive, alpha-beta T cell",B cell,native cell,mesothelial cell,smooth muscle cell,CD14-positive monocyte,mast cell,monocyte,"activated CD4-positive, alpha-beta T cell",natural killer cell,fibroblast,neural cell,endothelial cell,dendritic cell,regular atrial cardiac myocyte,"CD8-positive, alpha-beta cytotoxic T cell",macrophage,capillary endothelial cell,"CD14-positive, CD16-positive monocyte",endothelial cell of artery,vein endothelial cell,pericyte cell,epicardial adipocyte,regular ventricular cardiac myocyte,"CD4-positive, alpha-beta cytotoxic T cell",endothelial,alpha,ductal,acinar,delta,gamma,beta,CD8+ T cells,NKT cells,CD4+ T cells,HSPCs,Erythrocytes,Plasmacytoid dendritic cells,Monocyte-derived dendritic cells,CD16+ Monocytes,CD14+ Monocytes,NK cells,Erythroid progenitors,Plasma cells,Megakaryocyte progenitors,CD10+ B cells,CD20+ B cells,Monocyte progenitors
TXK,PARP8,BANK1,LAMA2,ITLN1,MYH11,SLC11A1,NTM,SLC11A1,LEF1,TXK,DCN,NRXN1,PCDH15,POLQ,MYL7,PARP8,F13A1,BTNL9,CD163,BTNL9,RAMP3,PDGFRB,GPAM,FHL2,THEMIS,CELA2B,IRX2,MMP7,ALDOB,LEPR,PPY,ADCYAP1,IFITM1,CCL5,IL7R,SPINK2,BPGM,LILRA4,FCER1A,FCGR3A,FCN1,PRF1,KCNH2,MZB1,ITGA2B,VPREB1,MS4A1,MPO
CD247,CNOT6L,AFF3,DCN,HP,ZFHX3,RBM47,SLC24A3,MSR1,IL7R,KLRD1,ABCA8,NRXN3,LDB2,DIAPH3,MYH6,THEMIS,RBPJ,VWF,SLC11A1,MECOM,PTPRB,ABCC9,FASN,RYR2,PARP8,GP2,GC,KRT19,REG1B,RBP4,DPYSL3,HADH,CCR7,GZMK,CD3D,CRHBP,SNCA,SERPINF1,CLEC10A,CDKN1C,S100A12,KLRD1,FAM178B,FKBP11,GATA2,IGLL1,CD79A,AZU1
KLRD1,ITK,RALGPS2,APOD,PLA2G2A,KCNAB1,FMN1,KIT,ALCAM,CCR7,CD247,ABCA6,XKR4,ADAMTSL1,BRIP1,ANKRD1,CAMK4,RBM47,KIAA1217,MERTK,LINC00639,SLCO2A1,FRMD3,G0S2,TTN,BCL11B,CELA2A,PAPPA2,S100A14,ALB,CBLN4,SERTM1,PCSK1,CD3E,GZMA,CD3E,MDK,SLC25A37,IRF7,HLA-DQA1,LYPD2,VCAN,KLRF1,GFI1B,TNFRSF17,CSF2RB,DNTT,HLA-DQB1,ELANE
MCTP2,FYN,BLK,CFD,C3,PRKG1,VCAN,IL18R1,SLC16A10,LTB,KLRC1,ABCA9,CADM2,POSTN,MELK,TRDN,TC2N,MRC1,FLT1,RBM47,VWF,VWF,DLC1,ACACB,SGCD,IL7R,SYCN,F10,TINAGL1,GSTA1,BCHE,STMN2,MAFA,MAL,CST7,LTB,EGFL7,DCAF12,PLD4,CST3,MS4A7,CD14,SPON2,KLF1,DERL3,CNRIP1,EBF1,BANK1,RNASE2
KLRC1,SYTL3,LINC00926,C7,KCNT2,ACTA2,CD163,CDK15,ITGAX,THOC3,LINC00299,BICC1,CDH19,CGNL1,TOP2A,RYR2,ITK,CD163,ADGRF5,CLEC7A,SMAD6,FAM155A,EGFLAM,SCD,CTNNA3,CAMK4,CTRL,PCSK2,SLC4A4,ANPEP,SST,AQP3,DLK1,LTB,DUSP2,MAL,CYTL1,FECH,SCT,ALDH2,HES4,MNDA,GNLY,HEBP1,SEC11C,CYTL1,VPREB3,RALGPS2,MGST1
CARD11,PTPRC,MS4A1,SERPINF1,CCDC80,NTRK3,CSF3R,KIAA1549,RBM47,BCL11B,GNLY,LAMA2,CHL1,TMEM108,F13A1,ERBB4,BCL11B,STAB1,F8,TLR2,F8,ACKR1,GUCY1A2,PLIN1,FGF12,ITK,CTRC,RGS4,MALL,LGALS2,PCSK1,ETV1,IAPP,LCK,NKG7,TRAT1,PRSS57,TMCC2,IL3RA,HLA-DRB1,CKB,S100A9,IL2RB,CA2,FCRL5,PKIG,AKAP12,HLA-DQA1,MS4A3
AOAH,CAMK4,GNG7,CCL11,TIMP1,LMOD1,TLR2,CPA3,FMN1,ITK,KLRF1,C7,SORCS1,EMCN,ANLN,FGF12,SLFN12L,MS4A6A,ANO2,MS4A6A,ID1,CALCRL,MYO1B,MGST1,MLIP,SKAP1,PNLIPRP1,TM4SF4,CFTR,REG3A,HHEX,PLEKHB1,C1QL1,FLT3LG,KLRB1,FLT3LG,MYCT1,BNIP3L,IRF8,HLA-DPA1,IFITM3,S100A8,FGFBP2,TUBG1,ERLEC1,PHTF1,CD79B,CD22,PRSS57
APBA2,IL7R,SEL1L3,ABCA9,PRG4,LINC01568,GLT1D1,SLC38A11,CD163,PDE3B,MCTP2,NEGR1,ZNF536,ST6GALNAC3,CLSPN,KCNJ3,IL7R,COLEC12,EGFL7,HCK,EPAS1,LDB2,RGS5,LINC00598,SORBS2,INPP4B,PNLIP,MUC13,LGALS4,FGL1,EDN3,PEG10,ELMO1,CD8B,LYAR,TNFAIP3,MSRB3,STRADB,GZMB,SAMHD1,LST1,TYROBP,XCL2,UBAC1,CD38,PRSS57,MME,BLK,RAB32
CD160,CXCR4,FCRL1,NEGR1,SLPI,ITGA8,KYNU,HPGDS,MYO1F,CAMK4,NCR1,KAZN,SLC35F1,MYRIP,FMN1,TTN,DTHD1,PLTP,ABLIM3,MRC1,ARL15,TSHZ2,NGF,PNPLA2,RBM20,PTPRC,KLK1,VSTM2L,SERPINA5,REG1A,PCP4,CARTPT,HOPX,LEF1,CTSW,CD2,BAALC,HEMGN,LRRC26,HLA-DPB1,ZNF703,SERPINA1,NKG7,BLVRB,JSRP1,TPM1,CD9,HLA-DPA1,FABP5
